text,id,label,annotator,annotation_id,created_at,updated_at,lead_time
"Is there a way to sign up for delivery alerts via text? I'm going to be ordering the pleated blue cami in a large, product 357345, and having it sent to me in Pineville, NC 28134, and I'd love to get an alert when it arrives.",98,"[{""start"": 123, ""end"": 129, ""text"": ""357345"", ""labels"": [""PRODUCT""]}]",2,98,2021-11-21T22:51:19.379053Z,2021-11-21T22:51:19.379092Z,4.011
"I'm seriously considering this Belmont link bracelet (B12579DSSADI). Do you know how long it would take to get to my house in Hazleton, PA (Zip: 18201)? I'd just be using your normal shipping option. And could I leave instructions so that the delivery service leaves it at my side door rather than my front door?",96,"[{""start"": 54, ""end"": 66, ""text"": ""B12579DSSADI"", ""labels"": [""PRODUCT""]}]",2,96,2021-11-21T22:51:12.079331Z,2021-11-21T22:51:12.079368Z,3.983
"I was thinking of ordering the girls Pattern Dress (Web Item: 147647) but wanted to know when I would receive it in (Manchester, M1 2DF) if I was to order later today? Do you offer tracking on all your orders?",95,"[{""start"": 62, ""end"": 68, ""text"": ""147647"", ""labels"": [""PRODUCT""]}]",2,95,2021-11-21T22:51:07.522727Z,2021-11-21T22:51:07.522767Z,4.384
"I think I'm going to get Item no: 794666 but when would I get it if being shipped to Seattle, WA with standard shipping speed? If I'm not home when it's delivered will it be left at the post office?",93,"[{""start"": 34, ""end"": 40, ""text"": ""794666"", ""labels"": [""PRODUCT""]}]",2,93,2021-11-21T22:50:59.614999Z,2021-11-21T22:50:59.615038Z,3.551
"Is there a way to sign up for delivery alerts via text? I'm going to be ordering the basket of blooms, product 105644, and having it delivered to me in Pineville, NC 28134, and I'd love to get an alert when it arrives. Also, will I get an email notification when this is posted to the mail?",92,"[{""start"": 111, ""end"": 117, ""text"": ""105644"", ""labels"": [""PRODUCT""]}]",2,92,2021-11-21T22:50:55.523267Z,2021-11-21T22:50:55.523302Z,4.049
"If I were to buy a lawn mower (Item # 538024), do you know how much it would cost to ship it to my apartment in Apple Valley, CA (Zip: 92307)? And also, would you happen to have any overnight shipping options on that?",91,"[{""start"": 38, ""end"": 44, ""text"": ""538024"", ""labels"": [""PRODUCT""]}]",2,91,2021-11-21T22:50:50.881426Z,2021-11-21T22:50:50.881461Z,2.637
"Could you tell me about when I'd receive style NUMBER: 99256596 if I order tomorrow and it's being shipped to Salt Lake City, UT?",90,"[{""start"": 55, ""end"": 63, ""text"": ""99256596"", ""labels"": [""PRODUCT""]}]",2,90,2021-11-21T22:50:47.544292Z,2021-11-21T22:50:47.544333Z,4.434
"I was thinking of ordering this painted floral girls dress for my daughter, Item #472176A82, but wanted to know when I would receive it in Austin, TX if I was to order later today? Do you offer tracking on all your orders?",89,"[{""start"": 82, ""end"": 91, ""text"": ""472176A82"", ""labels"": [""PRODUCT""]}]",2,89,2021-11-21T22:50:42.539395Z,2021-11-21T22:50:42.539435Z,3.543
"I'm not usually home during the day, but I want to order the whirlpool dryer 670009. Would it be possible to set it up so that my neighbor signs for it rather than me? We live in the same building in Ringgold, GA (Zip: 30736). Also, what would the standard shipping cost be on that?",88,"[{""start"": 77, ""end"": 83, ""text"": ""670009"", ""labels"": [""PRODUCT""]}]",2,88,2021-11-21T22:50:38.358049Z,2021-11-21T22:50:38.358086Z,3.69
"If I order the Mini meal powder, #016957, when would I receive it in Tulsa, Oklahoma?",87,"[{""start"": 34, ""end"": 40, ""text"": ""016957"", ""labels"": [""PRODUCT""]}]",2,87,2021-11-21T22:50:34.056667Z,2021-11-21T22:50:34.056708Z,2.579
